Model,Test_R2,Test_RMSE,Test_MAE,Test_MAPE
Basic Model,0.9360679160204348,1.8474542119151685,1.116132019545969,10.326059677312472
Temporal Model,0.9118593261604122,2.1692141864942247,1.6969469774344164,61.44699162362058
Ensemble Model,0.8721139833816317,2.6129180135981755,1.837174568342081,15.499334569451454
