Datetime,Brine Flowrate (T/h),Fluid Temperature (°C),NCG+Steam Flowrate (T/h),Ambient Temperature (°C),Reinjection Temperature (°C),Gross Power (MW),Predicted Gross Power (MW),Has Red Warning,Has Yellow Warning,Red Warning Features,Yellow Warning Features
2025-01-01,1866.78637695312,175.08,50.4436712265014,5.30329084396362,83.6167907714843,44.98613739013672,42.915768,False,False,[],[]
2025-01-01,1869.09094238281,175.08,45.8896045684814,4.60794591903686,83.5225219726562,45.251731872558594,42.989883,False,False,[],[]
2025-01-01,1866.49145507812,175.09,45.9506950378418,4.32130098342895,83.2115936279296,45.31414985656738,43.23228,False,False,[],[]
2025-01-01,1859.37951660156,175.1,45.9720964431762,4.11169624328613,83.1802520751953,45.260223388671875,43.118263,False,False,[],[]
2025-01-01,1856.33203125,175.09,45.7540578842163,4.17936706542968,82.9818725585937,45.22836112976074,43.088245,False,False,[],[]
2025-01-01,1858.49084472656,175.12,45.7082843780517,4.40987825393676,83.1508865356445,45.18678855895996,43.083263,False,False,[],[]
2025-01-01,1864.00915527343,175.12,45.2646932601928,3.99600744247436,83.1297912597656,45.40036392211914,43.23372,False,False,[],[]
2025-01-01,1864.18859863281,175.12,45.548487663269,3.60628461837768,83.1734008789062,45.511898040771484,43.27892,False,False,[],[]
2025-01-01,1860.931640625,175.12,45.3935508728027,2.63699269294738,82.6155242919921,45.801950454711914,43.687824,False,False,[],[]
2025-01-01,1871.72717285156,175.13,43.1061830520629,3.01318740844726,82.9035720825195,45.766374588012695,43.766495,False,False,[],[]
2025-01-01,1865.07434082031,175.1,45.820779800415,3.63496828079223,82.8253631591796,45.582298278808594,43.304348,False,False,[],[]
2025-01-01,1872.95886230468,175.08,44.6384973526001,5.10331726074218,83.4824142456054,45.06184005737305,42.994495,False,False,[],[]
2025-01-01,1867.01635742187,175.08,44.4690589904785,7.30069923400878,84.0497817993164,44.158592224121094,42.21766,False,False,[],[]
2025-01-01,1873.53198242187,175.06,44.1554813385009,8.67741775512695,84.5996780395507,43.84195327758789,42.126343,False,False,[],[]
2025-01-01,1868.91088867187,175.05,44.460238456726,10.057466506958,84.93359375,43.15185737609863,41.404926,False,False,[],[]
2025-01-01,1870.62915039062,175.04,44.5672597885131,11.2047824859619,85.5119323730468,42.74065589904785,41.178894,False,False,[],[]
2025-01-01,1866.45495605468,175.03,44.9484872817993,11.6146392822265,85.5980758666992,42.61008834838867,41.074615,False,False,[],[]
2025-01-01,1868.91772460937,175.02,43.6207580566406,10.96213722229,85.4943542480468,42.85393524169922,41.178894,False,False,[],[]
2025-01-01,1865.13830566406,175.02,42.2657928466796,9.85495948791503,85.2486495971679,43.13505744934082,41.309,False,False,[],[]
2025-01-01,1865.0693359375,174.99,46.4024629592895,9.68178272247314,85.0620040893554,43.204315185546875,41.52938,False,False,[],[]
2025-01-01,1870.12133789062,174.97,45.8699169158935,8.59167575836181,84.9440612792968,43.68350791931152,41.77898,False,False,[],[]
2025-01-01,1866.00134277343,174.99,45.5257530212402,7.61914348602294,84.452896118164,44.06806564331055,42.089413,False,False,[],[]
2025-01-01,1868.34582519531,175.03,45.5567798614501,6.98999881744384,84.3864593505859,44.27073669433594,42.17032,False,False,[],[]
2025-01-01,1864.61157226562,175.02,45.5183429718017,6.48305082321167,84.08349609375,44.455461502075195,42.47624,False,False,[],[]
2025-01-02,1866.15319824218,175.04,46.2545528411865,5.943612575531,84.0733108520507,44.723236083984375,42.480404,False,False,[],[]
2025-01-02,1859.56201171875,175.03,45.4841375350952,5.5399227142333896,83.7689132690429,44.751935958862305,42.765076,False,False,[],[]
2025-01-02,1867.2822265625,175.01,45.8278799057006,5.26122379302978,83.7835540771484,44.9702033996582,42.765076,False,False,[],[]
2025-01-02,1865.61437988281,175.03,45.9514656066894,4.88465499877929,83.591323852539,45.06243705749512,42.95392,False,False,[],[]
2025-01-02,1865.08032226562,175.04,45.8065176010131,5.01735496520996,83.6558761596679,45.09015655517578,42.935867,False,False,[],[]
