Datetime,Brine Flowrate (T/h),Fluid Temperature (°C),NCG+Steam Flowrate (T/h),Ambient Temperature (°C),Reinjection Temperature (°C),Gross Power (MW)
2020-01-01 01:00:00.000,1618.8687619566917,183.57647705078125,113.83108520507812,4.9744181632995605,69.89227294921875,51.30002403259277
2020-01-01 02:00:00.000,1626.0749826431274,183.61093139648438,112.81401824951172,4.249973297119141,69.9521484375,51.3038444519043
2020-01-01 03:00:00.005,1622.028660479933,183.61109924316406,113.16263580322266,4.095755100250244,69.85250091552734,51.46424674987793
2020-01-01 04:00:00.010,1621.4692385196686,183.5669403076172,113.5954360961914,4.333886623382568,70.35379028320312,51.59199333190918
2020-01-01 05:00:00.015,1625.5162091255188,183.56863403320312,113.7999038696289,4.092031955718994,70.72041320800781,51.50214958190918
2020-01-01 06:00:00.020,1626.405048251152,183.57838439941406,114.15111541748047,4.187273979187012,70.50425720214844,51.40396499633789
2020-01-01 07:00:00.025,1637.860038638115,183.5948486328125,112.68111419677734,4.366079330444336,70.11309814453125,51.206024169921875
2020-01-01 08:00:00.030,1614.3859008550644,183.64932250976562,113.31354522705078,4.299014091491699,70.13934326171875,51.76179885864258
2020-01-01 09:00:00.035,1623.7460137605667,183.64292907714844,114.6051254272461,4.40815544128418,70.73136901855469,51.41191482543945
2020-01-01 10:00:00.040,1631.827319137752,183.5909423828125,114.98393249511719,4.020043849945068,70.88224792480469,51.76519775390625
2020-01-01 11:00:00.045,1623.3071445468813,183.5865478515625,114.6791763305664,3.755751848220825,70.82674407958984,51.78313064575195
2020-01-01 12:00:00.050,1619.9161865711212,183.5590362548828,114.90577697753906,3.684992790222168,70.66645812988281,51.72576141357422
2020-01-01 13:00:00.055,1627.1200405079871,183.55633544921875,114.37959289550781,3.864208459854126,70.84332275390625,51.66300010681152
2020-01-01 14:00:00.060,1628.0611790418625,183.56007385253906,114.77001953125,4.000975131988525,70.91632843017578,51.64444351196289
2020-01-01 15:00:00.065,1633.2578939199448,183.57510375976562,114.51392364501953,4.768985271453857,71.10978698730469,51.58966064453125
2020-01-01 16:00:00.070,1625.2409508228302,183.5652618408203,114.47318267822266,5.13311767578125,70.60331726074219,51.71450614929199
2020-01-01 17:00:00.075,1631.2593401670456,183.57057189941406,115.19239044189453,5.376662254333496,71.0439224243164,51.73134994506836
2020-01-01 18:00:00.080,1620.7010391950607,183.56500244140625,115.4770736694336,5.611203670501709,70.94038391113281,51.35583305358887
2020-01-01 19:00:00.085,1630.8947016000748,183.56468200683594,114.61575317382812,5.875452041625977,71.25543975830078,51.4613151550293
2020-01-01 20:00:00.090,1627.2601953744888,183.58883666992188,114.80979919433594,6.056295871734619,71.19409942626953,51.42629051208496
2020-01-01 21:00:00.095,1629.5048872232437,183.58460998535156,114.67282104492188,6.2035322189331055,71.3118896484375,51.436370849609375
2020-01-01 22:00:00.100,1632.3223007917404,183.57546997070312,115.28221130371094,6.251217842102051,71.28275299072266,51.56076622009277
2020-01-01 23:00:00.105,1628.4358421564102,183.57492065429688,115.05607604980469,6.189199924468994,71.19683074951172,51.53384208679199
2020-01-02 00:00:00.110,1630.4460196495056,183.59071350097656,115.27275848388672,6.200087547302246,71.26458740234375,51.47097206115723
